#Table1
plate,fiberid,mjd,z,zwarning,oiii_4363_flux,oiii_4363_flux_err,oiii_5007_flux,oiii_5007_flux_err,oiii_4959_flux,oiii_4959_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,nii_6548_flux,nii_6548_flux_err,nii_6584_flux,nii_6584_flux_err,oii_3729_flux,oii_3729_flux_err,oii_3726_flux,oii_3726_flux_err
2164,457,53886,0.04937034,0,113.8708,9.010657,1462.121,17.84738,393.2911,10.72208,68.14787,7.828502,81.50049,6.734965,123.0355,5.214327,371.1036,15.7276,147.7314,16.75726,105.833,16.7403
2356,591,53786,0.1739443,0,19.78611,2.833065,233.2768,4.338439,62.42021,3.397214,41.57629,3.56921,37.77654,2.965906,78.65681,1.612689,237.2471,4.864238,68.1466,5.770474,53.69052,5.828488
2358,530,53797,0.1666099,0,22.42488,3.419219,286.5751,5.860956,88.06738,4.393114,62.22196,3.64937,41.35918,5.1034,60.43376,1.68974,182.2822,5.096642,56.5632,7.613234,134.8133,7.78643
2362,502,53759,0.07606132,0,19.26678,2.95112,681.6256,7.676437,219.1694,4.632028,85.08205,3.605387,78.10542,4.484026,127.6577,1.832597,385.0452,5.527532,83.70168,4.992728,104.1848,5.03644
2363,115,53763,0.08280703,0,25.96094,4.068491,1391.126,12.48165,451.9638,7.102178,170.7984,5.368186,166.8151,5.379947,167.078,2.219263,503.9459,6.693802,367.6072,11.35161,307.1159,11.18627
285,280,51930,0.2596902,0,59.37954,4.807439,2002.034,12.83837,587.6772,7.008521,78.35272,7.296486,71.52412,5.223681,194.8505,3.770512,587.714,11.37272,223.797,9.651688,108.6943,9.32903
350,520,51691,0.07886094,0,25.20301,2.634941,754.3743,6.203627,245.3751,3.779601,138.2981,3.709108,105.7434,2.87266,134.565,1.286926,405.8791,3.881661,148.157,5.265736,113.8544,5.361272
597,86,52059,0.1790286,0,16.04514,2.566881,755.4677,6.032339,246.8513,4.296524,34.97665,3.363691,31.70964,2.373897,41.93746,0.9868904,126.493,2.976686,77.4667,4.450765,66.08936,4.488119
597,217,52059,0.1250467,0,49.43066,5.698517,990.9716,10.26334,287.4896,12.37922,175.1519,4.939031,154.7468,5.170642,324.6995,3.120536,979.3688,9.412246,182.2154,11.02972,115.7306,10.99299
733,65,52207,0.1094153,0,35.63481,4.681428,3799.792,23.26551,1256.887,10.90762,436.0598,6.097352,427.2921,6.281201,489.5807,3.427549,1476.688,10.33827,409.6132,14.34384,392.2419,14.07695
796,410,52401,0.1575447,0,24.83998,2.820654,317.0891,6.016722,89.45592,3.587582,34.08717,3.098668,25.1942,3.790843,44.04925,1.243506,132.8627,3.750696,57.76965,4.954624,32.38505,4.856496
881,160,52368,0.2887917,0,86.92677,3.792737,1227.519,8.489091,376.4144,4.637446,146.6765,8.205244,126.3384,7.018333,151.2503,2.801556,456.2059,8.45013,307.539,10.49946,313.2517,10.2994
